"","Y","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16"
"Y",1.319,0.647,0.208,0.313,0.298,0.253,0.216,0.228,0.204,0.246,0.265,0.252,0.243,0.294,0.237,0.192,0.222,0.28
"X",0.647,1.101,0.133,0.215,0.184,0.16,0.189,0.137,0.145,0.179,0.153,0.11,0.181,0.161,0.11,0.116,0.122,0.166
"Z1",0.208,0.133,1,0.161,0.244,0.163,0.21,0.178,0.16,0.148,0.226,0.27,0.189,0.163,0.207,0.208,0.197,0.172
"Z2",0.313,0.215,0.161,1.051,0.192,0.179,0.149,0.227,0.189,0.192,0.252,0.23,0.191,0.17,0.211,0.212,0.214,0.247
"Z3",0.298,0.184,0.244,0.192,1.073,0.233,0.256,0.301,0.263,0.208,0.227,0.222,0.233,0.237,0.185,0.22,0.261,0.246
"Z4",0.253,0.16,0.163,0.179,0.233,0.984,0.156,0.217,0.2,0.139,0.202,0.175,0.205,0.187,0.16,0.197,0.207,0.188
"Z5",0.216,0.189,0.21,0.149,0.256,0.156,1.003,0.18,0.177,0.151,0.209,0.196,0.183,0.233,0.18,0.163,0.198,0.206
"Z6",0.228,0.137,0.178,0.227,0.301,0.217,0.18,1.054,0.203,0.203,0.286,0.202,0.222,0.222,0.247,0.214,0.236,0.202
"Z7",0.204,0.145,0.16,0.189,0.263,0.2,0.177,0.203,0.983,0.162,0.167,0.212,0.212,0.197,0.184,0.145,0.247,0.221
"Z8",0.246,0.179,0.148,0.192,0.208,0.139,0.151,0.203,0.162,1.014,0.201,0.16,0.171,0.182,0.151,0.188,0.213,0.177
"Z9",0.265,0.153,0.226,0.252,0.227,0.202,0.209,0.286,0.167,0.201,1.04,0.205,0.218,0.179,0.173,0.21,0.235,0.18
"Z10",0.252,0.11,0.27,0.23,0.222,0.175,0.196,0.202,0.212,0.16,0.205,0.972,0.198,0.223,0.229,0.2,0.194,0.191
"Z11",0.243,0.181,0.189,0.191,0.233,0.205,0.183,0.222,0.212,0.171,0.218,0.198,1.024,0.211,0.234,0.243,0.277,0.188
"Z12",0.294,0.161,0.163,0.17,0.237,0.187,0.233,0.222,0.197,0.182,0.179,0.223,0.211,1.026,0.235,0.211,0.233,0.189
"Z13",0.237,0.11,0.207,0.211,0.185,0.16,0.18,0.247,0.184,0.151,0.173,0.229,0.234,0.235,0.997,0.203,0.228,0.254
"Z14",0.192,0.116,0.208,0.212,0.22,0.197,0.163,0.214,0.145,0.188,0.21,0.2,0.243,0.211,0.203,0.967,0.235,0.163
"Z15",0.222,0.122,0.197,0.214,0.261,0.207,0.198,0.236,0.247,0.213,0.235,0.194,0.277,0.233,0.228,0.235,1.05,0.186
"Z16",0.28,0.166,0.172,0.247,0.246,0.188,0.206,0.202,0.221,0.177,0.18,0.191,0.188,0.189,0.254,0.163,0.186,1.065
